2134, 1
1996, 1
2583, 1
2691, 1
1518, 1
26276, 1
11403, 1
8499, 1
9884, 1
10655, 1
43504, 0
36378, 0
45383, 1
51785, 0
38934, 1
87902, 1
84260, 1
104795, 1
89299, 0
72316, 1
214546, 1
150800, 1
224025, 1
116015, 1
240179, 1
2, 1
4, 1
755, 1
99, 1
22, 1
9934, 1
7178, 1
4674, 1
4017, 1
6459, 1
34892, 0
22739, 1
29467, 1
49352, 1
26423, 1
71111, 1
90163, 1
84126, 1
123893, 0
79883, 1
157505, 1
133289, 1
191099, 1
150279, 1
198076, 1
0, 1
0, 1
0, 1
0, 1
0, 1
1258, 1
3679, 1
2522, 1
3770, 1
5904, 1
25212, 1
17337, 1
30729, 1
18082, 1
25028, 1
76878, 0
85413, 1
92756, 1
77930, 1
74750, 1
150580, 1
131680, 1
98494, 1
135394, 1
135677, 1
0, 1
0, 1
0, 1
0, 1
0, 1
816, 1
4879, 1
973, 1
508, 1
3780, 1
20751, 1
36053, 0
28268, 0
28846, 1
15451, 1
89298, 1
66340, 1
61060, 1
42453, 1
56522, 1
177909, 1
139591, 1
148906, 1
179264, 1
120108, 1
0, 1
0, 1
0, 1
0, 1
0, 1
0, 1
1717, 1
0, 1
6185, 1
1295, 1
27310, 1
15867, 1
35106, 1
15467, 1
10574, 1
35727, 1
71922, 1
65433, 1
106043, 1
101665, 1
78315, 1
119925, 1
101157, 1
139488, 1
110392, 1
